label,feature,mean,std,q10,q25,q50,q75,q90,min,max
a,thumb_cmc_angle,0.7979374476188748,0.04202023596692459,0.7465703415528273,0.7695113294191872,0.7998048889881001,0.8274757527427945,0.8480246131996323,0.6281300852755485,0.9788115182621872
a,thumb_mcp_angle,0.8665487437322731,0.041012161977913054,0.8157213074468012,0.8379174946968069,0.8627902674709802,0.8961957885075434,0.922565425189799,0.7426936683524602,0.9753160065769968
a,thumb_ip_angle,0.9097573057957882,0.052578838608581986,0.8394382031828795,0.8848889354545588,0.9222724731638579,0.9480544853689614,0.9630835606618858,0.6518212098588003,0.9938101716004236
a,index_pip_angle,0.300857828976173,0.09476509083018995,0.214868066329321,0.24459013355321252,0.27969851149474556,0.3317928335902231,0.4031726409673745,0.1645680178159368,0.9521304023719732
a,index_dip_angle,0.8866824534751249,0.0982350858142147,0.7757685827127593,0.8799096529513875,0.918601905493106,0.936801079007477,0.9559842323460016,0.2540625099465701,0.9969129377943616
a,middle_pip_angle,0.265312938201228,0.10223901075857303,0.17889757698566613,0.20722028437196816,0.2419360123228534,0.2897536347620957,0.3709625875681492,0.1018558247888522,0.9266576485190356
a,middle_dip_angle,0.7214761880457558,0.2098979015339606,0.3871431314323165,0.5879056935843229,0.7866533640582141,0.9046140689741147,0.9220179127306504,0.0195560401571821,0.9670938218684404
a,ring_pip_angle,0.21986170391916177,0.10865463938420937,0.12524155017098423,0.15532669261892226,0.19696782199628146,0.24181941351262626,0.3408229869612099,0.0610913494037775,0.9632141048182344
a,ring_dip_angle,0.7472464038226974,0.14258635074601858,0.5545252677069888,0.6380373149326737,0.7563263852536444,0.887100112014288,0.9135171089740702,0.0968481524346594,0.969073741692299
a,pinky_pip_angle,0.20472639195898165,0.13926526807742318,0.08982186796256364,0.12197024577237718,0.1658845485513366,0.23671412686833174,0.34687946760090216,0.0270571871356417,0.957557255432801
a,pinky_dip_angle,0.8053534883256706,0.11274203158373762,0.660474314747984,0.7445514327668429,0.830306401087362,0.9001181310480346,0.9213005778368154,0.2772791734552985,0.9642399255142372
a,thumb_index_tip_distance,0.6971686691045761,0.13920245583779595,0.5397783875465393,0.6132323294878006,0.687698245048523,0.7641962021589279,0.8513270080089569,0.1873210668563842,1.9280810356140137
a,index_middle_tip_distance,0.2649812424016234,0.04400138099151344,0.2250765889883041,0.24118837341666216,0.26059605181217194,0.28093244880437845,0.305063933134079,0.0420212410390377,0.6581612229347229
a,middle_ring_tip_distance,0.26078192197570677,0.03872974349868177,0.2229406028985977,0.23869371414184565,0.2566937208175659,0.27806670218706125,0.30399712622165675,0.143197625875473,0.743588924407959
